Bitvectors: 1000
min length: 10
max length: 150
Last login: Thu Jun  6 15:21:28 on ttys003
echo -n '\0033]0;/Users/windfury/RiderProjects/BitvectorChecker/BitvectorChecker/bin/Debug/net7.0/BitvectorChecker\007' ; clear ; exec '/Users/windfury/Library/Caches/JetBrains/Rider2023.3/tmp/terminalLauncher1.sh'
windfury@wlan-cl-kit-cs-172-17-10-226 ~ % echo -n '\0033]0;/Users/windfury/RiderProjects/BitvectorChecker/BitvectorChecker/bin/Debug/net7.0/BitvectorChecker\007' ; clear ; exec '/Users/windfury/Library/Caches/JetBrains/Rider2023.3/tmp/terminalLauncher1.sh'

Bitvector: 10110111011011010000000111010110001000000110010011011000011100100010010101011011111111010110110010100101011001
Bitvector: 111001100001111001100010110011000100000110001010000101001101101011110001111101010110010111100001100100110101110110011010
Bitvector: 101000101111000010001010111101100110111110001000001001011111
Bitvector: 10111010011110011010100010000000101000110100000
Bitvector: 011001111110101000010010010011111
Bitvector: 00110000100001011001110100111000000100011000100110011011101111000010110111
Bitvector: 110110000010110100111110110111111110000001011101111111011100000100001110001001010110011111111100001111111101000100111
Bitvector: 000001101101000001110101111001000011000110000111101000010011111111100000011111000000001100100001110010001101100011100010011
Bitvector: 101010110000010001010010010101000001000001000100010111100100000000101000011000010000011
Bitvector: 1000101110101000110110010010110101010110100101000
Bitvector: 1100100001100011111
Bitvector: 000101100011111001111010001110100111011111001011111011000100000110101000001110000110010010000111110110111001011010001011001
Bitvector: 111001101011111010001001000110101000001111111001101011000100010101
Bitvector: 100100001010111011011100000101100011010
Bitvector: 000100000011001100101100011011101001110000101100010001000111000111011110100000110101011010011001100001110001010110011101101000001
Bitvector: 00110000010101011010001110110100111011111110101000011010111000110111
Bitvector: 000101111100101001100010000010010111001000010001111101
Bitvector: 10101001100100101101111000000011101101110001110010000101101110010011100100011001011101011001000111001010
Bitvector: 010100110010001101101010111101101110011100110011110010000100010111111
Bitvector: 000000101110010010000000011101110111110001110101101001011010000000010001011001111100000001100101000001100100110010111101000111110100
Bitvector: 11111010001001011111010001010011100000100111000010110111010101101010000010110010110111100
Bitvector: 01011010011101100001011110001001001001111010010001101111110011000001111101011100111111001010100101000100111010001011100110001110010
Bitvector: 00000000110011100000110001111110111100111100100100100101
Bitvector: 11011100100101101100111000001000111100110010010100010100011
Bitvector: 01011111111111101101100011100010010001110110001011011100110111110000010100000010100101010010001101000001010000111011000011
Bitvector: 010000010001001001110
Bitvector: 101010101011011011100101100011110101111001110010111101010110100000101001101111101110111100011011110001011000001010011100110111010111111
Bitvector: 001000010001110000001110000000010101110111000011100010001010110100111000011000010100011110111001010011000111000100101100001101011
Bitvector: 00000001111100111111000111001011101110000001010001110
Bitvector: 0110110111011100100110111110011100111101101
Bitvector: 110110011111111000110000110000110010101001101110010111001111001100100100011100110001011101101001000011001010111000100
